movieId,id,Title,Year,Director(s),Actors,Genre(s),Type,Language(s),Countries,imdbRating,Soundtrack_URL,Soundtrack
11,tt0112346,The American President,1995,['Rob Reiner'],"['Michael Douglas', 'Annette Bening', 'Martin Sheen']","['Comedy', 'Drama', 'Romance']",['movie'],"['English', 'French', 'Spanish']",['United States'],6.8,https://www.imdb.com/title/tt0112346/soundtrack,"['Brandenburg Concerto No. 5, BWV 1050, 1st Movement: Allegro by Johann Sebastian Bach', 'Ballet Music from Faust By Charles Gounod', 'I Have Dreamed By Richard Rodgers and Oscar Hammerstein II', 'It's Beginning to Look Like Christmas Written by Meredith Willson', 'God Rest Ye Merry, Gentlemen Traditional', 'Viens, Mallika from ""Lakmé""', 'Deck the Halls (uncredited)', 'Hail to the Chief (uncredited)']"
12,tt0112896,Dracula: Dead and Loving It,1995,['Mel Brooks'],"['Leslie Nielsen', 'Mel Brooks', 'Peter MacNicol']","['Comedy', 'Fantasy', 'Horror']",['movie'],"['English', 'German']","['France', 'United States']",5.8,https://www.imdb.com/title/tt0112896/soundtrack,"['Hungarian Dance No. 5 Written by Johannes Brahms', 'Roses From the South Waltz by Johann Strauss (as Johann Strauss II)', 'The Kaminsky Two-Step Composed by Hummie Mann']"
13,tt0112453,Balto,1995,['Simon Wells'],"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']","['Animation', 'Adventure', 'Drama']",['movie'],['English'],"['United States', 'United Kingdom']",7.1,https://www.imdb.com/title/tt0112453/soundtrack,['Reach for the Light Music by Barry Mann and James Horner']
14,tt0113987,Nixon,1995,['Oliver Stone'],"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']","['Biography', 'Drama', 'History']",['movie'],"['English', 'Mandarin', 'Russian']",['United States'],7.1,https://www.imdb.com/title/tt0113987/soundtrack,"['Menuetto from Schubert's ""Symphony No. 2 in B Flat Major, D 125""', 'Hackney Carriage Written by C. King Palmer', 'Largo Written by Franz Schubert', 'Stein Song (University of Maine)', 'Happy Days Are Here Again Written by Jack Yellen and Milton Ager', '(Love is) The Tender Trap Written by Sammy Cahn and Jimmy Van Heusen', 'I Can't Give You Anything But Love Written by Jimmy McHugh and Dorothy Fields', 'Camelot Written by Alan Jay Lerner and Frederick Loewe', 'Mazurka in D Major, Op. 33, No. 2 Written by Frédéric Chopin', 'Waltz in B Minor, Op. 69, No. 2 Written by Frédéric Chopin', 'Life's the Darndest Thing Written by Bill Elliott', 'Last Round Written by Bill Elliott', 'My Baby Said She'd Marry Me Written by Bill Elliott', 'I Like to Pet Written by Bill Elliott', 'A Mil Traditional; Arranged by Kubaney', 'Fever Written by Otis Blackwell (as John Davenport) and Eddie Cooley', ''Guadalcanal March' and 'Mare Nostrum' from Victory at Sea', 'Gloria (La Parte)', 'Battle Hymn of the Republic Music by William Steffe', 'Shenandoah Traditional; Arranged by James Erb']"
16,tt0112641,Casino,1995,['Martin Scorsese'],"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']","['Crime', 'Drama']",['movie'],['English'],"['United States', 'France']",8.2,https://www.imdb.com/title/tt0112641/soundtrack,"['Matthäuspassion BMV Composed by Johann Sebastian Bach (uncredited)', 'Zooma Zooma Written by Paolo Citarella & Louis Prima', 'Moonglow Love Theme From Picnic (1955)', 'You're Nobody 'Til Somebody Loves You Written by Russ Morgan & Larry Stock', 'Sing, Sing, Sing (With a Swing) Written and Performed by Louis Prima', '7-11 (aka Mambo #5) Written by Dámaso Pérez Prado (as Perez Prado)', 'Hoochie Coochie Man Written by Willie Dixon', 'Fa-Fa-Fa-Fa-Fa (Sad Song) Written by Otis Redding & Steve Cropper', 'Long Long While Written by Mick Jagger & Keith Richards', '(I Can't Get No) Satisfaction Written by Mick Jagger & Keith Richards', 'The 'In' Crowd Written by Billy Page', 'Compared To What Written by Gene McDaniels (as Eugene McDaniels)', 'Slippin' and Slidin' Written by Little Richard (as Richard Penniman), Albert Collins, James Smith,', 'Love Is Strange Written by Sylvia Robinson & Mickey Baker', 'Heart of Stone Written by Mick Jagger & Keith Richards', 'Love Is The Drug Written by Bryan Ferry & Andy Mackay (as Andrew MacKay)', 'Nel Blu Dipinto Di Blu (Volare) Written by Domenico Modugno and Franco Migliacci', 'Takes Two to Tango Written by Al Hoffman & Dick Manning', 'How High The Moon Written by Nancy Hamilton & Morgan Lewis', 'I Ain't Superstitious Written by Willie Dixon', 'Happy Birthday to You Written by Patty S. Hill (as Patty) and Mildred J. Hill (as Mildred Hill)', 'Working In The Coal Mine Written by Allen Toussaint', 'Unforgettable Written by Irving Gordon', 'Stardust (Instrumental)', 'What A Difference A Day Makes Written by Stanley Adams & María Grever (as Maria Grever)', 'I'll Take You There Written by Al Bell', 'Love Me the Way I Love You Written by Charles Tobias', 'Let's Start All Over Again Written by Elsa Byrd & Paul Winley', 'Sweet Virginia Written by Mick Jagger & Keith Richards', 'Basin Street Blues/When It's Sleepy Time Down South Written by Spencer Williams / Clarence Muse, Leon René (as Leon Rene),', 'Stella By Starlight Written by Ned Washington & Victor Young', 'Boogaloo Down Broadway Written by Jesse James', 'Sweet Dreams Written by Don Gibson', 'Can't You Hear Me Knocking Written by Mick Jagger & Keith Richards', 'Toad Written by Ginger Baker (as Peter Edward Baker)', 'Those Were The Days Written by Ginger Baker and Pete Brown (as Peter Constantine Brown)', 'Hurt Written by Jimmie Crane & Al Jacobs', 'The Glory of Love Written by Billy Hill', 'Nights In White Satin Written by Justin Hayward', 'Walk On The Wild Side Written by Elmer Bernstein & Mack David', 'Gimme Shelter (Live Version)', 'EEE-O Eleven Written by Sammy Cahn and Jimmy Van Heusen', 'I'll Walk Alone Written by Jule Styne & Sammy Cahn', 'Sunrise (Prelude from 2001: A Space Odyssey (1968))', 'That's the Way I Like It Written by Harry Wayne Casey and Richard Finch', 'Venus Written by Edward H. Marshall', 'Flight of the Bumblebee Written by Nikolai Rimsky-Korsakov']"
17,tt0114388,Sense and Sensibility,1995,['Ang Lee'],"['Emma Thompson', 'Kate Winslet', 'James Fleet']","['Drama', 'Romance']",['movie'],"['English', 'French']","['United Kingdom', 'United States']",7.7,https://www.imdb.com/title/tt0114388/soundtrack,"['Weep You No More Sad Fountains Music by Patrick Doyle', 'The Dreame Music by Patrick Doyle']"
18,tt0113101,Four Rooms,1995,"['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez']","['Tim Roth', 'Antonio Banderas', 'Sammi Davis']",['Comedy'],['movie'],['English'],['United States'],6.7,https://www.imdb.com/title/tt0113101/soundtrack,"['Sentimental Journey Written by Bud Green, Les Brown, Ben Homer', 'Vertigogo Performed by Combustible Edison', 'Carnival Of Souls Written by Peter Dixon', 'Theme from 'The Tiki Wonder Hour' Written by Peter Dixon', 'Breakfast At Denny's Written by Peter Dixon', 'The Millionaire's Holiday Written by Peter Dixon, Liz Cox (as Elizabeth Cox)', 'Spy Vs. Spy Written by Michael Cudahy', 'Harlem Nocturne Written by Earle Hagen', 'Cadillac Written by Nino Rota', 'Auld Lang Syne Courtesy of King World Productions, Inc.', 'YMCA Written by Jacques Morali, Henri Belolo, Victor Willis']"
19,tt0112281,Ace Ventura: When Nature Calls,1995,['Steve Oedekerk'],"['Jim Carrey', 'Ian McNeice', 'Simon Callow']","['Adventure', 'Comedy', 'Crime']",['movie'],['English'],['United States'],6.4,https://www.imdb.com/title/tt0112281/soundtrack,"['Blur the Technicolor Performed by White Zombie', 'Boll Weevil Performed by The Presidents of the United States of America', 'Secret Agent Man Performed by Blues Traveler', 'Lion Sleeps Tonight Lead vocals by Michael Ian Elias', 'Spirits in the Material World Performed by Pato Benton with Sting', 'Ife Performed by Angélique Kidjo', 'Quintet in E Major, Op.13(11) No. 5, G275, 3rd movement (uncredited)', 'Eine kleine Nachtmusik, 1st movement (uncredited)', 'Chitty Chitty Bang Bang Written by Richard M. Sherman (uncredited) and Robert B. Sherman (uncredited)']"
20,tt0113845,Money Train,1995,['Joseph Ruben'],"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']","['Action', 'Comedy', 'Crime']",['movie'],['English'],['United States'],5.7,https://www.imdb.com/title/tt0113845/soundtrack,"['The Train Is Coming Written by Ken Boothe and Shaggy (as Orville Burrell)', 'Making Love Written by Tim Kelley, Bob Robinson, Kevin Wales, Michael Marcel Keith (as Micheal Keith),', 'Top of the Stairs Written and Performed by Skee-Lo', 'Show You the Way to Go Written by Kenny Gamble (as Kenneth Gamble) and Leon Huff', 'Still Not Over You Written by Trey Lorenz, Mark C. Rooney and Mark Morales', 'Nuevo Dia Written by Kike Santander', 'Where Ever You Are Written by Denzil Foster & Thomas McElroy', 'All That Matters Written by Denzil Foster & Thomas McElroy', 'Oh, How I Hate to Get Up in the Morning Written by Irving Berlin', 'Dance Without Sleeping Written by Melissa Etheridge, Mauricus 'Fritz' Lewak (as Mauricio Fritz Lewak) & Kevin Mccormick', 'I Love You...I'll Kill You Written by Enigma (as Curly M.C.) & David Fairstein', 'I Remember That Night Written by Daz Dillinger (as Dillinger) and Juvenile', 'The Thrill I'm In Written by Jimmy Jam (as James Harris III) and Terry Lewis', 'Oh Baby Written by Alexander Richbourg, McKinley Horton, Tony Hightower, Sammy Crumbley, Jason Sylvain and Ron Jackson']"
21,tt0113161,Get Shorty,1995,['Barry Sonnenfeld'],"['Gene Hackman', 'Rene Russo', 'Danny DeVito']","['Comedy', 'Crime', 'Thriller']",['movie'],['English'],['United States'],6.9,https://www.imdb.com/title/tt0113161/soundtrack,"['A Woman, A Lover, A Friend Written by Syd Wyche', 'Green Onions Written by Booker T. Jones, Steve Cropper, Al Jackson Jr. and Lewie Steinberg (as Lewis Steinberg)', 'Are You Havin' Any Fun Written by Sammy Fain and Jack Yellen', 'I Had My Chance Written by Mark Sandman', 'Aw Mercy Written by Booker T. Jones, Steve Cropper, Al Jackson Jr. and Lewie Steinberg (as Lewis Steinberg)', 'The Lion and the Wolff Written by Lee Morgan', 'Bo's Veranda Written by Mark Sandman', 'Panacea Written by Marc Antoine and DJ Greyboy (as Andreas Stevens)', 'Can't Be Still Written by Booker T. Jones, Steve Cropper, Al Jackson Jr. and Lewie Steinberg (as Lewis Steinberg)', 'Rio Bravo Written by Dimitri Tiomkin and Paul Francis Webster', 'Tana's Theme Written by Henry Mancini', 'Chilli Hot Written by Geoff Wilkinson and Jim Hawkins', 'Chubb Sub Written by Medeski Martin & Wood', 'Comin' Home Baby Written by Ben Tucker and Bob Dorough', 'Up, Up and Away Written by Jimmy Webb', 'Theatreland (uncredited)', 'Outdoor Life (uncredited)', 'Finiculi Finicula (uncredited)']"
22,tt0112722,Copycat,1995,['Jon Amiel'],"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney']","['Drama', 'Mystery', 'Thriller']",['movie'],['English'],['United States'],6.6,https://www.imdb.com/title/tt0112722/soundtrack,"['Carabu Party Written and performed by Steven Ray', 'Vissi D'Arte from ""Tosca""', 'Sexy Ways Written by Willie Hutch, Val Johns', 'Get Up to This Written by Derrick Xavier Gumbus (as Derric Gumbus) and Loren Chaney', 'Somebody to Love Written by Darby Slick', 'I Think I Love You Written by Tony Romeo', 'Largo Al Factotum from ""Il Barbiere Di Siviglia""', 'Murder by Numbers Written by Sting, Andy Summers', 'Fame ('90 Remix) Written by Carlos Alomar, David Bowie and John Lennon', 'In Paradisum Written by Gabriel Fauré', 'Techno Boy Written by Silkski (as Jerome Evans)']"
23,tt0112401,Assassins,1995,['Richard Donner'],"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']","['Action', 'Crime', 'Thriller']",['movie'],"['English', 'Dutch', 'Spanish']","['France', 'United States']",6.3,https://www.imdb.com/title/tt0112401/soundtrack,"['Like a Rolling Stone Written by Bob Dylan', 'The Day of the Dead Written and Produced by Michael Kamen', 'Beginning to End Written by Klover and Roy Z.', 'Sour Times Written by Beth Gibbons, Geoff Barrow, Adrian Utley, Lalo Schifrin,', 'Spit Written by Tommy Joy', 'La Muerta Written and Produced by Michael Kamen', 'Oh Mio Babbino No Caro From the opera ""Gianni Schicchi""']"
24,tt0114168,Powder,1995,['Victor Salva'],"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']","['Drama', 'Fantasy', 'Mystery']",['movie'],['English'],['United States'],6.6,https://www.imdb.com/title/tt0114168/soundtrack,"['Roll Up Waltz Written by Andrew J. Hall', 'Puppet March Written by Eric Gemsa', 'No One Like You Music by Jerry Goldsmith']"
25,tt0113627,Leaving Las Vegas,1995,['Mike Figgis'],"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']","['Drama', 'Romance']",['movie'],"['English', 'Russian']",['United States'],7.5,https://www.imdb.com/title/tt0113627/soundtrack,"['Angel Eyes Written by Matt Dennis and Earl K. Brent', 'It's A Lonesome Old Town Written by Harry Tobias and Charles Kisco', 'My One and Only Love Lyrics by Robert Mellin', 'Lonely Teardrops Written by Berry Gordy, Gwen Gordy Fuqua (as Gwen Gordy) and Billy Davis', 'Come Rain Or Come Shine Written by Johnny Mercer & Harold Arlen', 'Ridiculous Written by Nicolas Cage & Phil Roy', 'I Won't Be Going South (For A While) Written by Angelo Palladino', 'The Third Man Theme Written by Anton Karas', 'You Turn Me On Written by Jacques Morali (as Jacques Merali) and Alain Bernardin', 'Ben And Sera Theme (uncredited)']"
27,tt0114011,Now and Then,1995,['Lesli Linka Glatter'],"['Christina Ricci', 'Demi Moore', ""Rosie O'Donnell""]","['Comedy', 'Drama', 'Romance']",['movie'],['English'],['United States'],6.8,https://www.imdb.com/title/tt0114011/soundtrack,"['Signed, Sealed, Delivered I'm Yours Written by Stevie Wonder, Lee Garrett, Syreeta Wright, and Lula Mae Hardaway', 'I'll Be There Performed by Jackson 5 (as The Jackson Five)', 'As I Lay Me Down Performed by Sophie B. Hawkins', 'Respect Yourself Performed by The Staple Singers', 'Midnight Rider Performed by The Allman Brothers Band', 'Daydream Believer Performed by The Monkees', 'I'm Gonna Make You Love Me Performed by Diana Ross and The Supremes with The Temptations', 'Band of Gold Performed by Freda Payne', 'No Matter What Performed by Badfinger', 'Jennifer Eccles Performed by The Hollies', 'Hitchin' a Ride Performed by Vanity Fare', 'These Boots Are Made for Walking Performed by Nancy Sinatra', 'Raga Sind Bhiravi Performed by Clem Alford', 'Knock Three Times Performed by Tony Orlando & Dawn', 'Mexican Highway Performed by Syd Dale', 'All Right Now Performed by Free', 'These Eyes Performed by The Guess Who', 'I Want You Back Performed by the Jackson 5', 'I Never Think of You Performed by Rose Mallett', 'Now and Then Performed by Susanna Hoffs', 'Sugar, Sugar Performed by The Archies']"
28,tt0114117,Persuasion,1995,['Roger Michell'],"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Corin Redgrave']","['Drama', 'Romance']",['movie'],['English'],"['UK', 'USA', 'France']",7.7,https://www.imdb.com/title/tt0114117/soundtrack,"['Prelude in B Composed by Frédéric Chopin (as Chopin)', 'Sarabande in D (French Suite) Composed by Johann Sebastian Bach (as J.S. Bach)', 'Nocturne in B Composed by Frédéric Chopin (as Chopin)', 'Prelude in G Composed by Frédéric Chopin (as Chopin)', 'Sarabande in B (French Suite) Composed by Johann Sebastian Bach (as J.S. Bach)', 'The Minstrel Boy (uncredited)', 'The Dusky Night (uncredited)']"
29,tt0112682,The City of Lost Children,1995,"['Marc Caro', 'Jean-Pierre Jeunet']","['Ron Perlman', 'Daniel Emilfork', 'Judith Vittet']","['Adventure', 'Drama', 'Fantasy']",['movie'],"['French', 'Cantonese']","['France', 'Germany', 'Spain', 'Belgium', 'United States']",7.5,https://www.imdb.com/title/tt0112682/soundtrack,"['Who Will Take Your Dreams Away Music by Angelo Badalamenti', 'Marinella Music by Vincent Scotto', 'Petit Papa Noël Music by Henri Martinet', 'Deux Guitares Music by Louiguy', 'Bon Anniversaire Music by Louiguy', 'My Very Sweet Lady (Marcello/ Who Will Take My Dreams Away?)', 'Serenade Gouden Hart (Marcello/ Who Will Take My Dreams Away?)', 'Générique (Marcello/ Who Will Take My Dreams Away?)', 'Théme De La Cité Des Enfants Perdus by Angelo Badalamenti', 'Les Enfants Sauvent One by Angelo Badalamenti', 'Mort De La Pieuvre by Angelo Badalamenti', 'Opium Prince by Angelo Badalamenti', 'Le Ra...radiateur by Angelo Badalamenti', 'La Clé De La Victoire by Angelo Badalamenti', 'Le Voyage Du Rêve by Angelo Badalamenti', 'Miette by Angelo Badalamenti', 'L'éxécution by Angelo Badalamenti', 'Les Puces by Angelo Badalamenti', 'La Foire by Angelo Badalamenti', 'Cerises Pour Un Dîner À Deux by Angelo Badalamenti', 'Krank... by Angelo Badalamenti', 'Final by Angelo Badalamenti']"
